,polygon_id,state,city,name,holc_id,holc_grade,area_descr,geometry,longitude,latitude
0,604.0,CA,Fresno,,A1,A,"{ ""1"" : ""This is the best residential district in the city and is occupied by business and professional men with incomes ranging from about $2,500 to $8,000 a year. It is comprised of houses ranging in cost from $4,500 to $12,000 and ranging in age from","POLYGON ((-11860513.20066804 2202028.324125231, -11858967.99204215 2201159.532196966, -11858871.30085804 2200430.134245805, -11859088.88736473 2200035.850143559, -11859188.97884645 2200102.09441567, -11859336.21600195 2200202.998710155, -11859890.32771305 2200506.347151937, -11860077.26347654 2200189.026155895, -11860286.36373957 2199812.290965703, -11860544.83846446 2199391.822193556, -11860654.09741186 2199230.222946058, -11861108.41555774 2199504.136380549, -11860911.39415467 2199887.847522986, -11861525.13520244 2200213.573598701, -11861635.68894741 2200056.733844008, -11862219.19564542 2200365.05128439, -11861848.34354649 2200973.385040552, -11861285.62075186 2200656.997647433, -11860513.20066804 2202028.324125231))",-11860394.3569319,2200686.5656746225
1,605.0,CA,Fresno,,A2,A,"{ ""1"" : ""This small area stands out definitely from the solid âblueâ area, âB-2â, and its boundaries are well defined, as indicated on the map. It is occupied by business and professional men with income ranging from about $4,000 to $12,000. The","POLYGON ((-11862045.5790408 2196900.195476365, -11861181.5536415 2196410.600620676, -11861640.45504917 2195601.822747539, -11862232.65805051 2195945.565194719, -11862499.41196681 2195512.125444438, -11862721.55147141 2195625.729120808, -11862755.89410101 2195712.909298313, -11862396.05131134 2196325.72152999, -11862045.5790408 2196900.195476365))",-11861948.408358362,2196186.96867521
2,608.0,CA,Fresno,,B1,B,"{ ""1"" : ""This is an area comprised entirely of new houses or houses under construction, the future of which is very hard to determine. One builder is developing this little section, and on it has completed two houses, costing approximately $15,000 apiece","POLYGON ((-11857683.18255783 2203905.479336114, -11857195.25834342 2203620.236094322, -11856818.71886917 2203407.222155863, -11856700.83584498 2203339.280527873, -11856964.78147028 2202885.013859619, -11857646.95531031 2201645.494838992, -11858665.08782236 2202209.864861838, -11858782.79726088 2203961.785153857, -11858826.14956106 2204076.591327194, -11858866.81199834 2204151.354505009, -11859023.87331212 2204655.687426904, -11858349.87641117 2204285.767543467, -11857963.38642129 2204083.030049372, -11857683.18255783 2203905.479336114))",-11857955.355772313,2203082.5056011328
3,8034.0,CA,Fresno,,B2,B,"{ ""1"" : ""This area is a very good residential district. The homes are fairly uniform, the population is stable and substantial, educational facilities excellent, and transportation to the business district of the best. It is occupied for the most part by","POLYGON ((-11859088.88736473 2200035.850143559, -11859438.39829729 2199412.698524001, -11858864.93180998 2199086.994055936, -11858842.24644223 2198438.721116032, -11859472.02021824 2197345.958967967, -11859907.15862487 2197584.709630407, -11859940.61532075 2197589.554784159, -11860243.58418266 2197047.10581971, -11859559.15780663 2196645.438590477, -11860232.15410934 2195486.0365712, -11860079.75895514 2195398.211984676, -11860060.16068169 2195331.571586496, -11860417.80160137 2194685.814809069, -11860989.23334851 2193614.554527287, -11860823.85694901 2193524.064391956, -11861199.08183339 2192856.288067455, -11862546.9280213 2193604.193691686, -11862549.67535787 2193599.359847185, -11862549.70465022 2193599.376123586, -11862197.50826237 2194214.645049556, -11862203.03295367 2194314.09338815, -11862431.3686931 2194450.511264872, -11863460.33691099 2195038.79759316, -11864302.88543037 2195543.745404329, -11863647.1111087 2196677.094020877, -11863087.83400079 2197567.588848853, -11862901.19227766 2197857.047954723, -11863476.07357292 2198182.449186425, -11863136.99195398 2198762.396084661, -11863093.35761031 2198787.775820765, -11862535.93208667 2198476.047424721, -11862814.08155812 2197992.146479171, -11862741.72397051 2197979.311381781, -11861721.92991161 2197413.112547129, -11861169.59271526 2198379.723853083, -11862210.80882109 2198979.93049835, -11861966.87026882 2199424.044392522, -11861988.80766632 2199482.410833191, -11862500.89420347 2199751.157416175, -11862523.33431327 2199817.033860586, -11862219.19564542 2200365.05128439, -11861635.68894741 2200056.733844008, -11861525.13520244 2200213.573598701, -11860911.39415467 2199887.847522986, -11861108.41555774 2199504.136380549, -11860654.09741186 2199230.222946058, -11860544.83846446 2199391.822193556, -11860286.36373957 2199812.290965703, -11860077.26347654 2200189.026155895, -11859890.32771305 2200506.347151937, -11859336.21600195 2200202.998710155, -11859188.97884645 2200102.09441567, -11859088.88736473 2200035.850143559), (-11862755.89410101 2195712.909298313, -11862721.55147141 2195625.729120808, -11862499.41196681 2195512.125444438, -11862232.65805051 2195945.565194719, -11861640.45504917 2195601.822747539, -11861181.5536415 2196410.600620676, -11862045.5790408 2196900.195476365, -11862396.05131134 2196325.72152999, -11862755.89410101 2195712.909298313))",-11861362.415470885,2196890.3826125357
4,615.0,CA,Fresno,,B3,B,"{ ""1"" : ""This area is a comparatively new sub-division known as Sierra Vista. It is occupied by small business men, wage earners, and artisans, whose incomes range from $1,200 to $2,500 a year. The houses are of generally uniform construction, most of th","MULTIPOLYGON (((-11850618.06077886 2182857.757111797, -11849454.21419678 2182181.538408075, -11848661.33208822 2181739.71134226, -11847882.62986034 2181290.040133156, -11848484.1225819 2180250.254685801, -11849455.98965959 2180809.475035216, -11850370.73568927 2181339.769193713, -11850456.44756578 2181389.460287733, -11850964.82582702 2181684.200259363, -11852053.98146009 2182306.168098756, -11852140.7159083 2182355.701242233, -11853101.3586394 2182904.344420879, -11853136.31934119 2182938.774260689, -11852804.70550227 2183493.844294688, -11852790.24990469 2183482.754846498, -11852775.51756155 2183472.270039054, -11852760.49529342 2183462.380485383, -11852745.16846966 2183453.076547365, -11852729.52341188 2183444.349779278, -11852713.54097048 2183436.189360998, -11852697.20260341 2183428.585814286, -11852680.48723381 2183421.529321148, -11852663.40466911 2183415.022025931, -11852645.89801432 2183409.040309309, -11852627.9391838 2183403.574556901, -11852609.49513441 2183398.614697285, -11852590.53731714 2183394.152653506, -11852571.01511232 2183390.17612702, -11852550.88040852 2183386.675282246, -11852530.07333799 2183383.6396826, -11852496.87123986 2183379.881805611, -11852461.61630218 2183377.147378575, -11852423.89261173 2183375.402878409, -11852382.9557567 2183374.613233946, -11852343.44545579 2183374.689628569, -11852298.92496261 2183375.490285609, -11852097.09128889 2183382.240181119, -11852046.00024468 2183383.448787419, -11851999.15202128 2183384.027722899, -11851945.66148469 2183383.916420048, -11851894.54206791 2183382.911821439, -11851845.00746376 2183380.997972149, -11851796.66929199 2183378.158832313, -11851740.94751007 2183373.611825721, -11851686.14926182 2183367.73471256, -11851632.03330511 2183360.501437052, -11851578.44330871 2183351.890822746, -11851525.19970557 2183341.872001333, -11851472.25551315 2183330.434063638, -11851419.52836833 2183317.559166145, -11851366.95677959 2183303.232226814, -11850618.06077886 2182857.757111797)), ((-11847108.58112331 2182595.068998849, -11847672.98086687 2181655.281403875, -11848110.83754368 2181895.19079553, -11849795.18389033 2182852.426261176, -11849410.23937157 2183524.969410953, -11848493.02331598 2183006.755558412, -11848336.50176031 2183270.355736962, -11847108.58112331 2182595.068998849)), ((-11850795.72681879 2184343.615840396, -11850798.50090604 2184338.796273969, -11849888.06857507 2183817.19276215, -11850299.37702548 2183131.077350757, -11851157.86927304 2183638.024357371, -11851329.7353526 2183714.491381786, -11851392.42633897 2183736.381901993, -11851455.73951662 2183756.390744488, -11851519.61803979 2183774.499940913, -11851584.00455499 2183790.693227971, -11851648.84125257 2183804.956062141, -11851714.06991847 2183817.275632741, -11851779.63198649 2183827.640873351, -11851845.46859085 2183836.042471871, -11851911.52061901 2183842.472878802, -11851977.72876466 2183846.926314103, -11852044.03358095 2183849.398772376, -11852110.37553386 2183849.888026468, -11852176.69505557 2183848.393629519, -11852242.93259795 2183844.916915417, -11852309.02868596 2183839.460997542, -11852562.24098567 2183832.896465546, -11852559.18688822 2183838.014140391, -11852535.84025681 2183862.899541211, -11852034.16097494 2184717.800719036, -11852028.1528684 2184728.038875269, -11851716.33401749 2185248.727563469, -11850661.69148668 2184656.249045852, -11850669.83383271 2184579.129784891, -11850795.72681879 2184343.615840396)), ((-11847108.58112331 2182595.068998849, -11846471.30994291 2183666.52044732, -11846011.65222024 2183373.870626766, -11846624.28410111 2182351.065543127, -11846679.21462127 2182346.582795999, -11847108.58112331 2182595.068998849)))",-11849945.277139122,2182659.792242559
5,619.0,CA,Fresno,,B4,B,"{ ""1"" : ""Although the residential trend is north, this area is one of the most stable residential districts in the city. It is occupied largely by business and professional men whose incomes range from $3,000 to $12,000. The area, with the exception of o","POLYGON ((-11853353.94644393 2182482.587786814, -11854026.81045352 2181282.931795059, -11855828.69106695 2182301.036071392, -11856498.53061048 2182686.717295068, -11856550.7369669 2182659.017131167, -11856728.43748019 2182354.601955168, -11858679.05539423 2183475.480665412, -11858922.4250118 2183613.237063265, -11858145.39686836 2185003.864165593, -11858135.96547432 2185020.743318188, -11858027.36320858 2184958.195801552, -11858158.02556118 2184731.323365919, -11856114.24893762 2183558.38938931, -11855295.22429836 2183098.842119025, -11855077.98431409 2183483.149557549, -11853353.94644393 2182482.587786814))",-11856157.94899395,2183030.694248641
6,606.0,CA,Fresno,,B5,B,"{ ""1"" : ""\""B-5\"", like \""B-4\"", is one of the older uniform neighborhoods (average age of improvements being not quite so old as \""B-4\""), containing a stable and substantial population of business and professional men for the most part. However, the inc","POLYGON ((-11858843.35670865 2182669.140211821, -11857621.39547854 2181970.263416569, -11858293.24982544 2180811.908177055, -11859045.35917936 2181235.386854063, -11859186.81371783 2182106.343922612, -11858843.35670865 2182669.140211821))",-11858499.200801274,2181754.5361319804
7,629.0,CA,Fresno,,C1,C,"{ ""1"" : ""This area separates the best residential neighborhood on the north side of Fresno from the popular new suburban residential sub-division known as Fig Gardens. It includes sections on both sides of the main line railroad running northwesterly thr","POLYGON ((-11856887.63134963 2198985.725638512, -11858598.65674026 2199945.305216877, -11857988.90757221 2201032.616364329, -11856264.28422644 2200078.434579989, -11856887.63134963 2198985.725638512))",-11857433.334663585,2200010.222816799
8,610.0,CA,Fresno,,C2,C,"{ ""1"" : ""This area is considered a fairly desirable place in which to live. The improvements vary a good deal in cost of construction, ranging from $2,500 to $6,000. The average age is 20 years, ranging from 10 to 30 years. The houses are of frame and fr","POLYGON ((-11864007.78451931 2198490.683899153, -11863698.11870697 2198308.139098872, -11863476.07357292 2198182.449186425, -11862901.19227766 2197857.047954723, -11863087.83400079 2197567.588848853, -11863647.1111087 2196677.094020877, -11864302.88543037 2195543.745404329, -11863460.33691099 2195038.79759316, -11862431.3686931 2194450.511264872, -11862203.03295367 2194314.09338815, -11862197.50826237 2194214.645049556, -11862549.70465022 2193599.376123586, -11862549.67535787 2193599.359847185, -11863434.87729468 2192041.806588485, -11863434.90658908 2192041.822866001, -11863437.65411397 2192036.988685369, -11866193.53180928 2193581.449094102, -11866325.29796879 2193653.403512761, -11866332.57861406 2193689.69449038, -11866598.24866861 2193847.414606852, -11866602.20754229 2193849.764995642, -11866800.84058017 2193967.690376403, -11867440.05005031 2196723.212094373, -11867476.16023991 2196935.048036271, -11867479.06050794 2196949.308260335, -11867480.93877077 2196963.0806447, -11867481.6917644 2196973.452210445, -11867481.8233519 2196983.512670079, -11867481.33346344 2196993.256792683, -11867480.22236864 2197002.679186642, -11867478.49061268 2197011.774866272, -11867476.13927362 2197020.5379378, -11867473.16980821 2197028.962963786, -11867469.58417197 2197037.044389611, -11867465.38287128 2197044.779962653, -11867460.57031592 2197052.160614553, -11867455.15004778 2197059.180908752, -11867449.12629213 2197065.835368476, -11867442.50350182 2197072.118990499, -11867435.28756356 2197078.026113218, -11867427.48471065 2197083.551630618, -11867419.10204615 2197088.690509696, -11867410.11187637 2197093.455443875, -11867400.5541437 2197097.821248243, -11867390.43845382 2197101.783532733, -11867379.77544373 2197105.338128701, -11867368.57595298 2197108.481375811, -11867356.85300757 2197111.209573582, -11867331.89103296 2197115.408814445, -11867304.99743442 2197117.916652772, -11867276.31411644 2197118.718877861, -11867245.98707017 2197117.811386095, -11867214.17615655 2197115.198930763, -11867180.95964412 2197110.881536979, -11867146.6005592 2197104.887226331, -11867111.28367295 2197097.248264209, -11867075.19506868 2197088.004917912, -11867038.5320583 2197077.208339054, -11867001.46652275 2197064.90973894, -11866964.17730129 2197051.168513312, -11866926.83204791 2197036.046492968, -11866889.73052928 2197019.672655175, -11866852.88044318 2197002.058001454, -11866816.42093806 2196983.269101952, -11866780.47603039 2196963.369923526, -11866745.17637757 2196942.433691266, -11866710.60939882 2196920.513164015, -11866676.8700044 2196897.668574851, -11866644.04023127 2196873.955520074, -11866560.94559252 2196906.270639805, -11865624.03549228 2198524.114292126, -11864845.92110104 2199908.484311383, -11864038.79689377 2201336.174519864, -11863991.21201964 2201348.842754865, -11862794.51167526 2200678.896871291, -11864007.78451931 2198490.683899153))",-11864771.609132677,2196177.2511906116
9,607.0,CA,Fresno,,C3,C,"{ ""1"" : ""This is an area which is occupied for the most part by âwhite-collaredâ workers and business men with incomes ranging from $1,500 to $3,000 a year. The houses average about 18 years in age (with the exception of the narrow strip running nort","POLYGON ((-11856887.63134963 2198985.725638512, -11856264.28422644 2200078.434579989, -11857988.90757221 2201032.616364329, -11858586.67546874 2201374.740338479, -11858609.9954516 2200969.554013855, -11858714.18489296 2201015.17036587, -11858721.15308987 2200193.947323569, -11858720.65240825 2199943.072374052, -11858718.84958603 2199044.958594361, -11858666.75176946 2197294.592215026, -11858673.14976384 2197052.854405174, -11858556.588651 2195330.240380699, -11858254.88888625 2195166.022269879, -11859191.02395041 2193486.83369321, -11859285.95919277 2193425.331313025, -11859288.51083272 2193426.697592448, -11859291.12942078 2193421.981835316, -11859291.28675865 2193421.879983789, -11859609.50316977 2192848.820711405, -11860821.08069241 2193528.881977531, -11860823.8042099 2193524.03490927, -11860823.85694901 2193524.064391956, -11860989.23334851 2193614.554527287, -11860417.80160137 2194685.814809069, -11860060.16068169 2195331.571586496, -11860079.75895514 2195398.211984676, -11860232.15410934 2195486.0365712, -11859559.15780663 2196645.438590477, -11859337.14415246 2196519.082192956, -11859262.91147087 2196538.864554, -11858982.39181333 2197017.251607769, -11858996.30896647 2197068.582656253, -11859472.02021824 2197345.958967967, -11858842.24644223 2198438.721116032, -11858864.93180998 2199086.994055936, -11859438.39829729 2199412.698524001, -11859088.88736473 2200035.850143559, -11858871.30085804 2200430.134245805, -11858967.99204215 2201159.532196966, -11860513.20066804 2202028.324125231, -11860161.34515001 2202671.38613635, -11859023.87331212 2204655.687426904, -11858866.81199834 2204151.354505009, -11858826.14956106 2204076.591327194, -11858782.79726088 2203961.785153857, -11858665.08782236 2202209.864861838, -11857646.95531031 2201645.494838992, -11856964.78147028 2202885.013859619, -11856468.34051218 2202611.730143397, -11855494.50962684 2202037.695501888, -11854643.63077057 2201540.977856145, -11854616.78929038 2201464.571847664, -11855498.23123451 2199912.46490899, -11856244.906831 2198624.993660216, -11856732.35576469 2198898.652396532, -11856887.63134963 2198985.725638512))",-11858207.370534329,2199210.1209667204
