iter	Passed	Remaining
501	105386	104546
502	105717	104456
503	106073	104390
504	106369	104263
505	106709	104178
506	106993	104039
507	107309	103929
508	107597	103792
509	107849	103619
510	108130	103475
511	108360	103281
512	108552	103051
513	108772	102847
514	109000	102651
515	109232	102458
516	109492	102291
517	109716	102091
518	109850	101807
519	109994	101532
520	110127	101249
521	110249	100956
522	110377	100669
523	110499	100377
524	110629	100093
525	110757	99807
526	110883	99522
527	111019	99244
528	111148	98962
529	111272	98675
530	111389	98383
531	111500	98086
532	111612	97792
533	111724	97497
534	111834	97202
535	111948	96910
536	112058	96616
537	112214	96362
538	112354	96095
539	112488	95823
540	112615	95546
541	112735	95263
542	112861	94986
543	112985	94708
544	113112	94433
545	113238	94158
546	113360	93879
547	113481	93601
548	113599	93320
549	113723	93046
550	113855	92779
551	113968	92496
552	114079	92212
553	114189	91929
554	114300	91646
555	114413	91366
556	114528	91088
557	114639	90807
558	114749	90527
559	114858	90246
560	114995	89987
561	115210	89790
562	115335	89523
563	115511	89296
564	115632	89026
565	115895	88866
566	116024	88604
567	116133	88326
568	116243	88051
569	116357	87778
570	116468	87504
571	116607	87251
572	116716	86977
573	116841	86715
574	116967	86454
575	117075	86180
576	117187	85910
577	117315	85652
578	117435	85389
579	117577	85142
580	117769	84931
581	117997	84747
582	118219	84558
583	118399	84339
584	118539	84091
585	118676	83843
586	118856	83624
587	119152	83487
588	119381	83303
589	119564	83086
590	119863	82950
591	120012	82711
592	120211	82506
593	120445	82324
594	120635	82113
595	120715	81827
596	120778	81530
597	120898	81272
598	121163	81113
599	121502	81001
600	121790	80856
601	122034	80680
602	122386	80576
603	122686	80436
604	123010	80312
605	123347	80195
606	123642	80052
607	123927	79900
608	124213	79749
609	124425	79550
610	124579	79315
611	124857	79157
612	125061	78954
613	125233	78729
614	125461	78540
615	125700	78359
616	125920	78164
617	126136	77968
618	126352	77771
619	126572	77576
620	126814	77395
621	127044	77207
622	127276	77019
623	127555	76860
624	127836	76701
625	128015	76482
626	128223	76279
627	128496	76115
628	128735	75931
629	128933	75722
630	129115	75504
631	129370	75329
632	129670	75180
633	129930	75007
634	130130	74799
635	130334	74594
636	130550	74395
637	130715	74167
638	130930	73968
639	131082	73733
640	131246	73506
641	131395	73270
642	131610	73071
643	131847	72884
644	132029	72667
645	132151	72417
646	132271	72166
647	132389	71915
648	132507	71664
649	132623	71412
650	132736	71159
651	132854	70909
652	132969	70659
653	133086	70409
654	133201	70159
655	133314	69908
656	133428	69658
657	133544	69410
658	133663	69164
659	133778	68916
660	133894	68669
661	134011	68422
662	134125	68175
663	134275	67946
664	134563	67787
665	134831	67617
666	134990	67393
667	135142	67166
668	135310	66947
669	135658	66816
670	135942	66654
671	136250	66503
672	136514	66330
673	136726	66131
674	136953	65940
675	137196	65756
676	137433	65570
677	137641	65369
678	137825	65157
679	138041	64960
680	138228	64750
681	138356	64512
682	138471	64268
683	138586	64025
684	138702	63782
685	138817	63540
686	138933	63298
687	139051	63058
688	139170	62818
689	139285	62577
690	139447	62357
691	139572	62121
692	139691	61883
693	139807	61644
694	139919	61403
695	140036	61165
696	140152	60927
697	140266	60688
698	140378	60449
699	140492	60211
700	140604	59972
701	140720	59735
702	140835	59499
703	140952	59263
704	141064	59027
705	141182	58792
706	141293	58556
707	141407	58320
708	141521	58085
709	141637	57852
710	141749	57616
711	141865	57383
712	141980	57150
713	142092	56916
714	142205	56683
715	142321	56451
716	142436	56219
717	142548	55986
718	142664	55756
719	142780	55525
720	142896	55295
721	143010	55065
722	143125	54835
723	143242	54606
724	143356	54376
725	143471	54147
726	143585	53918
727	143701	53690
728	143814	53461
729	143927	53233
730	144045	53007
731	144160	52780
732	144274	52552
733	144391	52327
734	144508	52101
735	144625	51876
736	144743	51652
737	144858	51426
738	145022	51219
739	145182	51009
740	145362	50808
741	145587	50622
742	145761	50418
743	145933	50213
744	146104	50009
745	146285	49807
746	146458	49603
747	146628	49398
748	146797	49193
749	146945	48981
750	147096	48771
751	147260	48564
752	147420	48357
753	147612	48160
754	147768	47951
755	147936	47746
756	148094	47538
757	148256	47332
758	148440	47133
759	148587	46922
760	148743	46714
761	148899	46506
762	149075	46305
763	149283	46113
764	149410	45897
765	149482	45664
766	149579	45439
767	149661	45210
768	149819	45004
769	150018	44810
770	150187	44608
771	150325	44396
772	150494	44194
773	150666	43993
774	150830	43789
775	150989	43584
776	151144	43378
777	151271	43164
778	151412	42955
779	151554	42746
780	151699	42537
781	151869	42337
782	152093	42150
783	152385	41983
784	152614	41798
785	152732	41583
786	152860	41371
787	152974	41155
788	153086	40939
789	153196	40723
790	153311	40508
791	153421	40292
792	153533	40077
793	153645	39862
794	153757	39648
795	153944	39453
796	154136	39259
797	154399	39083
798	154664	38908
799	154892	38723
800	155175	38551
801	155448	38377
802	155666	38189
803	155902	38006
804	156070	37805
805	156234	37604
806	156316	37384
807	156410	37166
808	156574	36966
809	156824	36786
810	157181	36630
811	157429	36449
812	157676	36267
813	158005	36104
814	158241	35919
815	158517	35744
816	158809	35571
817	159052	35388
818	159365	35219
819	159679	35051
820	159891	34860
821	160024	34652
822	160225	34459
823	160468	34274
824	160632	34073
825	160843	33882
826	161031	33686
827	161231	33492
828	161419	33296
829	161530	33084
830	161645	32873
831	161786	32668
832	162011	32480
833	162230	32290
834	162467	32104
835	162722	31921
836	162863	31716
837	163123	31534
838	163294	31335
839	163514	31145
840	163806	30969
841	164038	30781
842	164233	30586
843	164413	30389
844	164612	30195
845	164753	29990
846	164893	29785
847	165069	29587
848	165217	29384
849	165372	29183
850	165504	28977
851	165676	28779
852	165856	28582
853	166044	28387
854	166188	28183
855	166315	27978
856	166464	27776
857	166637	27578
858	166760	27372
859	166871	27165
860	167005	26961
861	167223	26771
862	167399	26574
863	167523	26369
864	167715	26175
865	167923	25983
866	168101	25787
867	168310	25595
868	168522	25404
869	168734	25213
870	169004	25030
871	169318	24854
872	169570	24668
873	169830	24483
874	169961	24280
875	170158	24086
876	170517	23915
877	170871	23742
878	171190	23565
879	171393	23371
880	171600	23178
881	171885	22995
882	172192	22816
883	172529	22639
884	172792	22453
885	172987	22258
886	173196	22064
887	173488	21881
888	173824	21703
889	174020	21508
890	174185	21308
891	174364	21111
892	174592	20919
893	174755	20720
894	174944	20524
895	175164	20331
896	175320	20131
897	175521	19936
898	175725	19742
899	175955	19550
900	176154	19355
901	176288	19153
902	176407	18949
903	176523	18745
904	176637	18542
905	176757	18339
906	176874	18135
907	176988	17932
908	177099	17729
909	177239	17529
910	177417	17332
911	177545	17131
912	177657	16929
913	177771	16726
914	177888	16525
915	178000	16323
916	178113	16121
917	178226	15919
918	178341	15718
919	178453	15517
920	178568	15316
921	178680	15116
922	178796	14915
923	178935	14717
924	179048	14517
925	179165	14317
926	179285	14118
927	179424	13920
928	179671	13731
929	179858	13537
930	180078	13346
931	180195	13147
932	180308	12948
933	180426	12749
934	180557	12552
935	180679	12354
936	180808	12156
937	180927	11958
938	181066	11762
939	181181	11564
940	181302	11367
941	181415	11169
942	181527	10972
943	181639	10775
944	181751	10578
945	181866	10381
946	181979	10184
947	182091	9988
948	182204	9791
949	182317	9595
950	182432	9399
951	182549	9204
952	182839	9017
953	183017	8824
954	183240	8634
955	183524	8446
956	183804	8258
957	184116	8071
958	184272	7878
959	184432	7684
960	184575	7490
961	184824	7300
962	184968	7106
963	185136	6913
964	185328	6721
965	185475	6528
966	185695	6337
967	185883	6144
968	186043	5951
969	186287	5761
970	186511	5570
971	186805	5381
972	187134	5192
973	187391	5002
974	187513	4808
975	187642	4614
976	187914	4423
977	188302	4235
978	188489	4043
979	188760	3852
980	188953	3659
981	189328	3470
982	189620	3279
983	189713	3084
984	189853	2891
985	189965	2697
986	190109	2503
987	190358	2312
988	190612	2120
989	190969	1928
990	191350	1737
991	191688	1545
992	191915	1352
993	192108	1159
994	192271	966
995	192426	772
996	192620	579
997	192837	386
998	193051	193
999	193299	0
