iter	RMSE
235	0.5341717905
236	0.5339249591
237	0.533598535
238	0.5333119115
239	0.5330657542
240	0.5328720765
241	0.5324963687
242	0.5321651731
243	0.5318752612
244	0.5316562768
245	0.5313843891
246	0.5311132757
247	0.5308702418
248	0.5306380808
249	0.530335262
250	0.5301125738
251	0.5299684952
252	0.5296049849
253	0.52935749
254	0.5291232665
255	0.5289538736
256	0.5285903135
257	0.528330594
258	0.528069864
259	0.5278261803
260	0.5276898336
261	0.5273695394
262	0.5270853942
263	0.526859348
264	0.526650799
265	0.5261483633
266	0.5259026577
267	0.525696389
268	0.5254524726
269	0.5250786454
270	0.5248804383
271	0.5246921093
272	0.5244282963
273	0.5241946386
274	0.5239751321
275	0.5236235417
276	0.5233345981
277	0.5231811401
278	0.5230093915
279	0.5227079339
280	0.5225112877
281	0.5223064568
282	0.5221128248
283	0.5217884433
284	0.5216164018
285	0.5213375019
286	0.5210669158
287	0.5209055265
288	0.5207307586
289	0.5204207705
290	0.520255364
291	0.520027438
292	0.5197704997
293	0.5195109881
294	0.5192433439
295	0.5189150402
296	0.5187114277
297	0.5185803691
298	0.5184117006
299	0.5181552759
300	0.5179863708
301	0.5177306219
302	0.5174348261
303	0.5172586833
304	0.5171085404
305	0.5168671373
306	0.5166480848
307	0.5163917594
308	0.5162014712
309	0.5160586594
310	0.5158316644
311	0.5156764362
312	0.5154621806
313	0.5150298074
314	0.5148462363
315	0.5146725168
316	0.5144935836
317	0.5142230795
318	0.5139573036
319	0.5137763433
320	0.5135966491
321	0.5134010177
322	0.5132889681
323	0.5131772779
324	0.5129489299
325	0.5127373547
326	0.5125339643
327	0.5123734967
328	0.5122135368
329	0.5120411436
330	0.5116428913
331	0.5113416207
332	0.511057153
333	0.5108045885
334	0.5106386766
335	0.5105446134
336	0.5102717088
337	0.5100826405
338	0.5098196289
339	0.5096307529
340	0.5093542992
341	0.5091513005
342	0.5089505015
343	0.5087615862
344	0.5084767073
345	0.5082135947
346	0.5079282699
347	0.50777281
348	0.5075800664
349	0.5073381693
350	0.5071366426
351	0.5068519593
352	0.5066472084
353	0.5064006507
354	0.5062205736
355	0.5060200035
356	0.5057819677
357	0.5056495452
358	0.505324193
359	0.5050947215
360	0.5048100062
361	0.5046131912
362	0.5043189888
363	0.504245489
364	0.5039685501
365	0.5037709293
366	0.5035909862
367	0.5034353228
368	0.5031940174
369	0.5028920145
370	0.5026523114
371	0.5024257296
372	0.5023983914
373	0.5022885852
374	0.5020081923
375	0.5018954152
376	0.5015604301
377	0.5015019169
378	0.5011590289
379	0.5011396197
380	0.5008351378
381	0.5008229336
382	0.5003953742
383	0.5001598993
384	0.4999237179
385	0.4997485184
386	0.4996011971
387	0.4993300102
388	0.4991545977
389	0.4990009138
390	0.4986775218
391	0.4983918445
392	0.4982051009
393	0.4981194157
394	0.4979043489
395	0.4976544307
396	0.497341653
397	0.4971150603
398	0.4968668831
399	0.4966440557
400	0.4964745363
401	0.496309237
402	0.4961880951
403	0.4959800484
404	0.4957762775
405	0.4955802905
406	0.4954626847
407	0.4953369833
408	0.4952243428
409	0.4949614503
410	0.4946899709
411	0.4945112268
412	0.4942347972
413	0.4939740724
414	0.4937974201
415	0.4937251711
416	0.49363304
417	0.4934273823
418	0.4933657076
419	0.4931576523
420	0.4928939819
421	0.492587642
422	0.4924423981
423	0.4921388942
424	0.4919533645
425	0.4919377515
426	0.4919110918
427	0.4916189169
428	0.4914964086
429	0.4912968185
430	0.491277219
431	0.4910464525
432	0.490924144
433	0.4905869319
434	0.4904509822
435	0.4902166219
436	0.489949946
437	0.4896931534
438	0.4895580557
439	0.4893862178
440	0.4893569274
441	0.4891729554
442	0.4889311536
443	0.4887184477
444	0.4885782084
445	0.4884407825
446	0.4882498211
447	0.4880689727
448	0.4879330205
449	0.4876756733
450	0.4873387308
451	0.4870967912
452	0.4869371277
453	0.4867796256
454	0.4866473014
455	0.4865367017
456	0.4865286507
457	0.4865209997
458	0.4864026157
459	0.4861606195
460	0.4860294247
461	0.4858969888
462	0.4858307278
463	0.4857270463
464	0.4855481872
465	0.4853560974
466	0.4851559779
467	0.4850276429
468	0.4848317367
469	0.4847156195
470	0.4844446888
471	0.4842217357
472	0.4839901665
473	0.4838231896
474	0.4837596013
475	0.4835423732
476	0.4832712849
477	0.4831415185
478	0.4830108899
479	0.4828618279
480	0.4828431295
481	0.4827801467
482	0.4826309092
483	0.4826239247
484	0.4824297902
485	0.4822161845
486	0.4820276317
487	0.481880541
488	0.4818505607
489	0.4817748685
490	0.4815891784
491	0.4815656962
492	0.4814041946
493	0.4812529211
494	0.4810863562
495	0.4809714076
496	0.4808245223
497	0.4806219247
498	0.4803842844
499	0.4801720284
500	0.4800593809
501	0.4798949351
502	0.4797615144
503	0.479568729
504	0.4794549137
505	0.4792440901
506	0.478969147
507	0.4787560205
508	0.4784850941
509	0.4782845842
510	0.4780771429
511	0.4778465005
512	0.4778414109
513	0.4776235178
514	0.4774519177
515	0.4771639451
516	0.4769388458
517	0.4767626439
518	0.4766592508
519	0.4764809607
520	0.4763828615
521	0.4762382219
522	0.4760027136
523	0.4757736184
524	0.4756324755
525	0.475559597
526	0.475490629
527	0.4753387497
528	0.4752397458
529	0.4750682912
530	0.4749326914
531	0.4747830189
532	0.4745806625
533	0.4745706151
534	0.4744988698
535	0.4743327179
536	0.4743125024
537	0.4741194382
538	0.4738531032
539	0.4738447229
540	0.4736146337
541	0.4735405347
542	0.4735316225
543	0.4734643216
544	0.4734365418
545	0.4731698915
546	0.4730288374
547	0.47292383
548	0.4729229648
549	0.4726510982
550	0.4724876466
551	0.4723544366
552	0.4722041015
553	0.4721868775
554	0.4719778241
555	0.4718131577
556	0.4717077078
557	0.4715046438
558	0.4714271249
559	0.4714214084
560	0.4712983667
561	0.4711410282
562	0.4709494342
563	0.4707643363
564	0.470530084
565	0.470339323
566	0.470278707
567	0.4700706782
568	0.4700172041
569	0.4699178381
570	0.4696920554
571	0.4694304227
572	0.469291886
573	0.4690321945
574	0.468883936
575	0.4686640576
576	0.4684498613
577	0.4681858675
578	0.4680243624
579	0.4678232717
580	0.467735046
581	0.4675147939
582	0.4673101986
583	0.4671523045
584	0.4670275113
585	0.4668878678
586	0.4666923926
587	0.4665371636
588	0.4665264714
589	0.4662849287
590	0.4660430295
591	0.4658731297
592	0.4656350155
593	0.4654547766
594	0.4652783574
595	0.4651229015
596	0.4648193187
597	0.4646927845
598	0.4645829759
599	0.4643323908
600	0.4641727397
601	0.4639993183
602	0.4639456409
603	0.4637619469
604	0.4635656396
605	0.4633886719
606	0.4630946371
607	0.4629425228
608	0.462714101
609	0.4625877191
610	0.462413295
611	0.46223484
612	0.4621246435
613	0.4619907234
614	0.461813969
615	0.4616158238
616	0.4615637251
617	0.4614726499
618	0.4612134993
619	0.4612017872
620	0.4610206428
621	0.4608783581
622	0.4606750793
623	0.4606169387
624	0.4604435002
625	0.4603226342
626	0.4601894056
627	0.4599418046
628	0.4597397447
629	0.4596260344
630	0.459465946
631	0.4592531601
632	0.4590967343
633	0.4588407835
634	0.4587623403
635	0.4584997599
636	0.4584246585
637	0.4582971578
638	0.4581107633
639	0.4578979702
640	0.4578289328
641	0.4576799709
642	0.4575437167
643	0.4574566171
644	0.4572688227
645	0.4571259946
646	0.4569799179
647	0.4568261554
648	0.4566953907
649	0.4564789598
650	0.4563854453
651	0.456218611
652	0.4560998563
653	0.4559738437
654	0.4558311198
655	0.4556951468
656	0.4555973863
657	0.4554285804
658	0.4553455217
659	0.455300109
660	0.4551066934
661	0.454937719
662	0.4547132247
663	0.4543892012
664	0.4541818491
665	0.4540000379
666	0.4538895035
667	0.4536678937
668	0.453423757
669	0.4533192685
670	0.4531032364
671	0.4528907789
672	0.4527687625
673	0.4525851533
674	0.4524208884
675	0.4522181663
676	0.4520988601
677	0.4518956759
678	0.4517303904
679	0.4516345699
680	0.4515047504
681	0.4513355274
682	0.4513248736
683	0.4511718768
684	0.4510253615
685	0.4509404818
686	0.4507344585
687	0.4506489715
688	0.4504149779
689	0.4502384924
690	0.4500973241
691	0.4498528373
692	0.4497683916
693	0.4496177466
694	0.4494526675
695	0.4492914547
696	0.449217471
697	0.4491265591
698	0.4489608958
699	0.4488135355
700	0.4486955144
701	0.4484805057
702	0.4484541125
703	0.4482384691
704	0.448001857
705	0.4478806663
706	0.4478040362
707	0.4476588013
708	0.4475430627
709	0.4474913685
710	0.447411538
711	0.4472803791
712	0.4471059517
713	0.44685863
714	0.4466280776
715	0.4464944672
716	0.4463477646
717	0.4461769038
718	0.446004003
719	0.4458554418
720	0.4456620662
721	0.4454923128
722	0.4452107275
723	0.4451973159
724	0.4449440067
725	0.4446946956
726	0.4444734279
727	0.4443616217
728	0.4442494985
729	0.4442176324
730	0.4440442128
731	0.44384365
732	0.4436769708
733	0.4434163431
734	0.4432522671
735	0.44313063
736	0.4429889405
737	0.4428320861
738	0.442740724
739	0.4426004883
740	0.4424531823
741	0.4422497281
742	0.4421562674
743	0.4420654698
744	0.4419771361
745	0.4418320734
746	0.4417200195
747	0.4414948145
748	0.4413759426
749	0.4411532804
750	0.4409499051
751	0.4408350332
752	0.4407291144
753	0.4405719121
754	0.4404003304
755	0.4402270019
756	0.4401227342
757	0.4399904426
758	0.4398092363
759	0.4396227366
760	0.4396155821
761	0.4394339388
762	0.4393459899
763	0.4390672862
764	0.4389219898
765	0.4387660762
766	0.438642783
767	0.4385206907
768	0.4383190378
769	0.4381742146
770	0.4380794467
771	0.4378969489
772	0.4377429572
773	0.4375861716
774	0.4373802303
775	0.4371941364
776	0.4370963955
777	0.4370026048
778	0.4369093697
779	0.4368585966
780	0.4367100622
781	0.436641218
782	0.4364184467
783	0.4362858267
784	0.4361080348
785	0.4358803594
786	0.4357714406
787	0.4355776694
788	0.4354791088
789	0.4353158961
790	0.4352343229
791	0.4350826004
792	0.4349603044
793	0.4348981502
794	0.4347918544
795	0.4345804494
796	0.4343936194
797	0.4342317101
798	0.4340649343
799	0.4339935266
800	0.433888561
801	0.4336709306
802	0.4335614569
803	0.4334161219
804	0.433293243
805	0.4331387586
806	0.4329636511
807	0.4328792153
808	0.4327977491
809	0.4327073461
810	0.4325445217
811	0.4324184135
812	0.4322688748
813	0.4321358977
814	0.4319383169
815	0.4318551455
816	0.4316348622
817	0.4314468209
818	0.4313869591
819	0.4312233563
820	0.4310777354
821	0.4309336551
822	0.430849482
823	0.4307807084
824	0.4306832291
825	0.4305222848
826	0.4304393846
827	0.4302954112
828	0.4300154881
829	0.429812673
830	0.4297373442
831	0.4294867106
832	0.4294250158
833	0.4291880427
834	0.4289726338
835	0.4287857831
836	0.4286290529
837	0.4284766039
838	0.4283176963
839	0.4281728128
840	0.4280769388
841	0.428014032
842	0.427811332
843	0.4276343106
844	0.4275230916
845	0.4274255618
846	0.427294844
847	0.4272061383
848	0.4270558792
849	0.4269482469
850	0.4268493804
851	0.4267491715
852	0.426652694
853	0.4264288522
854	0.4264180285
855	0.4264019027
856	0.4262722404
857	0.4261277742
858	0.4259611422
859	0.4258410261
860	0.4257014498
861	0.4255388037
862	0.4254097832
863	0.4252854074
864	0.4251350303
865	0.424963096
866	0.4248465134
867	0.4247101123
868	0.4245777195
869	0.4244632767
870	0.4242745495
871	0.4241613736
872	0.4240274872
873	0.4239034907
874	0.4237424404
875	0.423574656
876	0.4234526883
877	0.4232320457
878	0.4230553977
879	0.4229470705
880	0.422738746
881	0.422635444
882	0.422454863
883	0.4222288246
884	0.4220918315
885	0.4219308734
886	0.4218580953
887	0.4216659467
888	0.4215670912
889	0.4214832977
890	0.4213573866
891	0.4212448301
892	0.4209916348
893	0.4209224599
894	0.4207704716
895	0.4206366238
896	0.4204708848
897	0.4203849203
898	0.4202511342
899	0.4201150915
900	0.4199729937
901	0.4198625589
902	0.4196874219
903	0.4195226047
904	0.4195034236
905	0.4192787592
906	0.4190897162
907	0.4190142446
908	0.4188851539
909	0.4186537995
910	0.4184887024
911	0.418403206
912	0.4182514621
913	0.4179570664
914	0.4178877128
915	0.4176792043
916	0.4175563038
917	0.4173664781
918	0.4172286413
919	0.4172039735
920	0.4170961979
921	0.4168289718
922	0.4166292831
923	0.416500738
924	0.416345143
925	0.4162958467
926	0.4162032998
927	0.4159464567
928	0.4157805698
929	0.4156593639
930	0.4156252214
931	0.4155586733
932	0.4153914464
933	0.4152164167
934	0.4151138834
935	0.4149046431
936	0.414727731
937	0.4146537556
938	0.4144321837
939	0.4142414748
940	0.4141970968
941	0.4140653397
942	0.4139482893
943	0.4138503878
944	0.4136934733
945	0.4135913784
946	0.4134630213
947	0.4132883476
948	0.4131615191
949	0.4130044105
950	0.412847204
951	0.4127305521
952	0.4126675474
953	0.4125186423
954	0.4123618671
955	0.4122204205
956	0.4121338598
957	0.4120253536
958	0.4118837889
959	0.4117365503
960	0.4116108703
961	0.4115425251
962	0.411366179
963	0.4112379189
964	0.4110827054
965	0.4109998754
966	0.4109513232
967	0.4107704893
968	0.4106510592
969	0.4104996468
970	0.4104040558
971	0.4102352916
972	0.4101133472
973	0.4098910105
974	0.4097681086
975	0.4096325181
976	0.4094971012
977	0.40932464
978	0.4092646741
979	0.4091498943
980	0.4089524059
981	0.4087382886
982	0.4085945045
983	0.4084556807
984	0.4084429964
985	0.4082762693
986	0.4081612036
987	0.4080473095
988	0.4080003366
989	0.4079005939
990	0.4078304825
991	0.4076927399
992	0.407670309
993	0.4076576934
994	0.4076035799
995	0.4073767672
996	0.4072112314
997	0.407147179
998	0.4070364996
999	0.4069278268
