,STATEFP,COUNTYFP,TRACTCE,geo_id,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry,poverty,unemployed_pop,median_income,income_per_capita,less_than_high_school_graduate,aged_65_or_older,aged_17_or_younger,one_parent_families_with_young_children,non_white,multi_unit_structures,mobile_homes,no_cars,group_quarters,pop_determined_poverty_status,total_pop,households,housing_units,reweighted_redline_index,ordinal_redline_index,poverty_perc,poverty_perc_bin,poverty_flag,unemployed_pop_perc,unemployed_pop_perc_bin,unemployed_flag,less_than_high_school_graduate_perc,less_than_high_school_graduate_perc_bin,less_than_high_school_graduate_flag,aged_65_or_older_perc,aged_65_or_older_perc_bin,aged_65_or_older_flag,aged_17_or_younger_perc,aged_17_or_younger_perc_bin,aged_17_or_younger_flag,non_white_perc,non_white_perc_bin,non_white_flag,one_parent_families_with_young_children_perc,one_parent_families_with_young_children_perc_bin,one_parent_families_with_young_children_flag,multi_unit_structures_perc,multi_unit_structures_perc_bin,multi_unit_structures_flag,mobile_homes_perc,mobile_homes_perc_bin,mobile_homes_flag,no_cars_perc,no_cars_perc_bin,no_cars_flag,group_quarters_perc,group_quarters_perc_bin,group_quarters_flag,median_income_flag,income_per_capita_flag,SVI,SVI_1,SVI_2,SVI_3,SVI_4,rental_prioritization_index
0,25,025,010600,25025010600.0,106,Census Tract 106,G5020,S,339678,0,+42.3476422,-071.0793745,"POLYGON ((-71.08560199999999 42.347884, -71.085313 42.34796, -71.083749 42.34838, -71.08210099999999 42.348819, -71.081811 42.348906, -71.081424 42.349018, -71.080778 42.34919499999999, -71.07950799999999 42.349508, -71.07736799999999 42.350075, -71.076933 42.34928, -71.076824 42.349337, -71.076683 42.349395, -71.07656899999999 42.349433, -71.076413 42.349478, -71.075874 42.349611, -71.074792 42.34986, -71.072659 42.35041, -71.072245 42.349532, -71.072076 42.34918, -71.07205499999999 42.349137, -71.072 42.349022, -71.072265 42.34894999999999, -71.072819 42.34879, -71.073579 42.348584, -71.07411399999999 42.348439, -71.075096 42.348159, -71.07513 42.348154, -71.075163 42.348159, -71.075209 42.348201, -71.075388 42.348575, -71.076381 42.348306, -71.076201 42.347911, -71.076122 42.347762, -71.076032 42.347577, -71.07593299999999 42.347363, -71.07602799999999 42.347309, -71.076645 42.34686, -71.07705299999999 42.346564, -71.07777299999999 42.346042, -71.078086 42.345821, -71.078378 42.34558, -71.07874699999999 42.345277, -71.07938899999999 42.344764, -71.079466 42.34471, -71.08008199999999 42.344219, -71.080151 42.344263, -71.080225 42.344319, -71.080344 42.3444, -71.080862 42.344753, -71.080911 42.344787, -71.08130299999999 42.345049, -71.08171 42.345339, -71.08182099999999 42.345413, -71.081881 42.345522, -71.08208999999999 42.34567, -71.08237699999999 42.345801, -71.082757 42.345856, -71.082984 42.34584599999999, -71.08341299999999 42.345894, -71.083833 42.345945, -71.084406 42.346039, -71.08463399999999 42.346087, -71.08474199999999 42.346195, -71.08479299999999 42.346269, -71.08480399999999 42.3463, -71.084907 42.34648, -71.08503 42.34673799999999, -71.08526499999999 42.347176, -71.085431 42.347487, -71.085476 42.34757099999999, -71.085528 42.347698, -71.08560199999999 42.347884))",399.0,48.0,93214.0,125222.0,55.0,689.0,138.0,54.0,983.0,2482.0,0.0,1102.0,0.0,3145.0,3145.0,2008.0,2693.0,3.9044884944852996,4.0,0.12686804451510333,2,0.0,0.015262321144674086,1,0.0,0.017488076311605722,1,0.0,0.2190779014308426,3,1.0,0.043879173290937996,1,0.0,0.3125596184419714,4,0.0,0.026892430278884463,1,0.0,0.9216487189008541,10,1.0,0.0,0,0.0,0.548804780876494,6,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.66
1,25,025,120500,25025120500.0,1205,Census Tract 1205,G5020,S,213706,0,+42.3206587,-071.1042025,"POLYGON ((-71.108452 42.322389, -71.107985 42.322441, -71.107844 42.32244499999999, -71.106852 42.322526, -71.106566 42.322564, -71.105834 42.322633, -71.10515599999999 42.322702, -71.104867 42.322721, -71.104016 42.322819, -71.103606 42.322869, -71.103506 42.322882, -71.103218 42.322905, -71.102862 42.322919, -71.102465 42.322919, -71.102176 42.322914, -71.102107 42.322913, -71.10189199999999 42.32290099999999, -71.101744 42.322892, -71.10134099999999 42.322858, -71.10061999999999 42.322819, -71.100585 42.322814, -71.10036099999999 42.322807, -71.10002299999999 42.322772, -71.10054199999999 42.322128, -71.101406 42.321106, -71.102501 42.319827, -71.10294399999999 42.319298, -71.103431 42.31865699999999, -71.10368099999999 42.31829099999999, -71.103966 42.317857, -71.104213 42.317456, -71.10447499999999 42.317022, -71.10487999999999 42.317033, -71.10513399999999 42.317014, -71.105369 42.31697399999999, -71.105665 42.316923, -71.105755 42.31692899999999, -71.10585999999999 42.316947, -71.10612499999999 42.317023, -71.10637899999999 42.31712, -71.106673 42.317268, -71.106596 42.317381, -71.10640699999999 42.31762699999999, -71.105795 42.318404, -71.10566899999999 42.318546, -71.10552899999999 42.31873299999999, -71.105389 42.318935, -71.105131 42.319278, -71.105289 42.319365, -71.105448 42.319509, -71.105565 42.319601, -71.105856 42.319961, -71.10656 42.32091399999999, -71.10667599999999 42.321045, -71.10678799999999 42.32115599999999, -71.10749899999999 42.32171899999999, -71.10798799999999 42.322114, -71.10826999999999 42.32232399999999, -71.108452 42.322389))",547.0,145.0,81250.0,39658.0,126.0,238.0,402.0,59.0,1735.0,120.0,0.0,317.0,0.0,2750.0,2817.0,1024.0,1056.0,3.725804678620202,4.0,0.1989090909090909,2,0.0,0.05147319843805467,1,0.0,0.04472843450479233,1,0.0,0.08448704295349663,1,0.0,0.14270500532481364,2,0.0,0.6159034433794817,7,0.0,0.0576171875,1,0.0,0.11363636363636363,2,0.0,0.0,0,0.0,0.3095703125,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82
2,25,025,070600,25025070600.0,706,Census Tract 706,G5020,S,133036,0,+42.3432581,-071.0753887,"POLYGON ((-71.079207 42.342697, -71.07856099999999 42.343211, -71.07827999999999 42.343335, -71.07820000000001 42.343266, -71.078046 42.34329, -71.07767 42.343372, -71.077522 42.343466, -71.077387 42.343535, -71.077119 42.343601, -71.076798 42.343679, -71.075936 42.343915, -71.075688 42.343984, -71.074966 42.344166, -71.074488 42.344297, -71.07463199999999 42.344605, -71.074736 42.344827, -71.074872 42.345105, -71.072746 42.345657, -71.072564 42.345282, -71.07237499999999 42.344872, -71.072002 42.344122, -71.07186299999999 42.343833, -71.07231399999999 42.343608, -71.072817 42.343341, -71.07315699999999 42.34316, -71.07375499999999 42.342831, -71.07381599999999 42.3428, -71.074586 42.342408, -71.075349 42.341991, -71.075982 42.341659, -71.07659199999999 42.341336, -71.077372 42.340931, -71.07759 42.341134, -71.078356 42.341845, -71.07875299999999 42.34228299999999, -71.078835 42.342374, -71.079014 42.342551, -71.079121 42.342638, -71.079207 42.342697))",153.0,29.0,154659.0,122822.0,29.0,294.0,402.0,0.0,522.0,41.0,0.0,303.0,6.0,2559.0,2559.0,1177.0,1241.0,4.0,4.0,0.059788980070339975,1,0.0,0.011332551778038297,1,0.0,0.011332551778038297,1,0.0,0.11488862837045721,2,0.0,0.1570926143024619,2,0.0,0.20398593200468934,3,0.0,0.0,0,0.0,0.033037872683319904,1,0.0,0.0,0,0.0,0.2574341546304163,3,0.0,0.0023446658851113715,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
3,25,025,140201,25025140201.0,1402.01,Census Tract 1402.01,G5020,S,1322336,99423,+42.2375297,-071.1305801,"POLYGON ((-71.139241 42.23366, -71.138406 42.234443, -71.137749 42.235045, -71.13742599999999 42.23533399999999, -71.137242 42.235499, -71.13665499999999 42.235999, -71.13656399999999 42.236083, -71.13645799999999 42.23618099999999, -71.13630999999999 42.23634, -71.13618099999999 42.236518, -71.13608099999999 42.23674099999999, -71.136067 42.236766, -71.136027 42.236836, -71.13566399999999 42.23746999999999, -71.13555599999999 42.237659, -71.135267 42.238163, -71.135115 42.238453, -71.134992 42.238603, -71.13485299999999 42.23872, -71.134653 42.238889, -71.13403699999999 42.239482, -71.13390799999999 42.239581, -71.13377199999999 42.239642, -71.13371599999999 42.239631, -71.133568 42.239613, -71.13347499999999 42.239589, -71.133358 42.239562, -71.133258 42.239538, -71.133076 42.23949, -71.13305799999999 42.239479, -71.133009 42.239472, -71.132414 42.239298, -71.13215099999999 42.239203, -71.13193799999999 42.239421, -71.13185799999999 42.239504, -71.131613 42.239782, -71.131433 42.240003, -71.13136799999999 42.240089, -71.13130699999999 42.240207, -71.13115599999999 42.240558, -71.13086799999999 42.241273, -71.13068799999999 42.241752, -71.130163 42.243092, -71.130078 42.243292, -71.129704 42.244225, -71.129204 42.245521, -71.129058 42.245876, -71.12900399999999 42.245995, -71.12890999999999 42.246422, -71.128776 42.247251, -71.128704 42.247636, -71.128653 42.247751, -71.128613 42.247806, -71.12893699999999 42.247967, -71.128961 42.247972, -71.128992 42.247992, -71.128433 42.249173, -71.128282 42.249095, -71.127776 42.248893, -71.127374 42.248721, -71.12693 42.248557, -71.126385 42.248318, -71.125798 42.248082, -71.12558 42.247985, -71.12550499999999 42.247954, -71.125411 42.248045, -71.12508 42.248394, -71.12499699999999 42.248522, -71.124949 42.248583, -71.12491299999999 42.248638, -71.12490699999999 42.248647, -71.124875 42.248714, -71.12486699999999 42.248749, -71.12480599999999 42.248922, -71.12477299999999 42.249099, -71.12476699999999 42.249315, -71.124759 42.249598, -71.12473 42.249703, -71.12468199999999 42.249804, -71.12463699999999 42.24986699999999, -71.12451999999999 42.249964, -71.12450699999999 42.24997399999999, -71.124466 42.249992, -71.124139 42.25006399999999, -71.124056 42.250101, -71.12401899999999 42.250124, -71.12391699999999 42.250201, -71.123823 42.250283, -71.123756 42.250378, -71.123707 42.250479, -71.123604 42.250716, -71.12354999999999 42.250815, -71.123491 42.25095, -71.1234 42.251337, -71.123362 42.251477, -71.123333 42.251545, -71.12331999999999 42.251608, -71.123305 42.251686, -71.123212 42.251733, -71.122884 42.251849, -71.122772 42.251689, -71.12263999999999 42.2515, -71.122534 42.25135, -71.122461 42.251235, -71.12243699999999 42.251153, -71.12245 42.251048, -71.12254299999999 42.250902, -71.122753 42.250651, -71.122827 42.250553, -71.122839 42.250485, -71.122815 42.250421, -71.12270099999999 42.250299, -71.12268999999999 42.250288, -71.12264499999999 42.25026, -71.122439 42.250058, -71.12303899999999 42.249466, -71.12353999999999 42.248946, -71.124115 42.248354, -71.12418 42.248303, -71.124511 42.247966, -71.124843 42.247607, -71.12506599999999 42.247296, -71.12524599999999 42.24707799999999, -71.12541 42.246866, -71.125547 42.246652, -71.12571299999999 42.246364, -71.12584199999999 42.24609299999999, -71.125945 42.245853, -71.12606599999999 42.245479, -71.126138 42.245179, -71.12618399999999 42.244875, -71.126206 42.244626, -71.126233 42.242667, -71.12623599999999 42.24212, -71.12618399999999 42.241615, -71.126063 42.240951, -71.125913 42.240327, -71.125845 42.24009299999999, -71.125772 42.239845, -71.12567 42.239527, -71.12580199999999 42.239455, -71.12637699999999 42.239162, -71.126296 42.239063, -71.12614099999999 42.238918, -71.12607899999999 42.238795, -71.126025 42.238699, -71.125951 42.238565, -71.125874 42.238408, -71.12576899999999 42.238201, -71.125704 42.237972, -71.125681 42.237901, -71.12554 42.237781, -71.12547499999999 42.237739, -71.12538099999999 42.237679, -71.125242 42.237626, -71.125091 42.237566, -71.12504299999999 42.237549, -71.12500899999999 42.237537, -71.124853 42.237476, -71.124763 42.237429, -71.124689 42.237365, -71.124612 42.23726, -71.124546 42.237149, -71.12445699999999 42.236861, -71.124236 42.236546, -71.124084 42.236388, -71.123813 42.236183, -71.12347799999999 42.235926, -71.123339 42.235853, -71.12326999999999 42.235778, -71.12296499999999 42.23557599999999, -71.122755 42.23542399999999, -71.12267299999999 42.235406, -71.12263799999999 42.23538, -71.122618 42.23531, -71.122517 42.235199, -71.12247499999999 42.23505, -71.12246399999999 42.234931, -71.122484 42.23484699999999, -71.12256599999999 42.234766, -71.122581 42.234708, -71.12259899999999 42.234643, -71.122602 42.23451499999999, -71.122604 42.234437, -71.12263999999999 42.234376, -71.122738 42.234315, -71.12282499999999 42.234286, -71.122871 42.234271, -71.12289 42.234265, -71.12293799999999 42.234249, -71.123132 42.234231, -71.12337599999999 42.234253, -71.12360699999999 42.234289, -71.123811 42.234321, -71.124053 42.234322, -71.124234 42.234285, -71.12439599999999 42.234203, -71.12446199999999 42.234161, -71.124498 42.234123, -71.12458699999999 42.234012, -71.124679 42.233841, -71.124719 42.233745, -71.12471499999999 42.233641, -71.124662 42.233505, -71.12460799999999 42.233311, -71.12452999999999 42.233218, -71.124511 42.233157, -71.12450299999999 42.233093, -71.12452399999999 42.232904, -71.124583 42.232779, -71.12474499999999 42.232622, -71.124848 42.23256, -71.124881 42.23254, -71.124973 42.23246899999999, -71.12506399999999 42.232359, -71.125119 42.232231, -71.12523 42.232057, -71.12535199999999 42.23193699999999, -71.125438 42.2319, -71.125477 42.231882, -71.125637 42.231873, -71.12581399999999 42.231869, -71.125952 42.231817, -71.12604999999999 42.231756, -71.126164 42.231635, -71.126223 42.231528, -71.126389 42.231371, -71.126609 42.231264, -71.12678099999999 42.231226, -71.126997 42.231227, -71.12721999999999 42.231207, -71.12742 42.231176, -71.12752999999999 42.231115, -71.127644 42.230959, -71.12775499999999 42.230781, -71.127962 42.23054399999999, -71.128078 42.230372, -71.128252 42.230184, -71.1285 42.230002, -71.128676 42.229879, -71.12875199999999 42.229836, -71.12880299999999 42.229803, -71.12886399999999 42.229721, -71.128889 42.229647, -71.128906 42.229511, -71.12895399999999 42.229316, -71.129068 42.229139, -71.12920199999999 42.228967, -71.129356 42.228855, -71.129459 42.228798, -71.129486 42.228782, -71.12967399999999 42.228754, -71.12995599999999 42.228731, -71.130101 42.228668, -71.130191 42.228595, -71.130268 42.228501, -71.13028899999999 42.228486, -71.13031099999999 42.22847, -71.130387 42.228379, -71.13062099999999 42.22807, -71.130673 42.228002, -71.130771 42.227926, -71.13084499999999 42.227976, -71.130973 42.228063, -71.131112 42.228157, -71.131209 42.228222, -71.131305 42.22828699999999, -71.131469 42.228398, -71.131511 42.228427, -71.131811 42.228629, -71.13193699999999 42.228715, -71.132195 42.228899, -71.132434 42.229051, -71.13251699999999 42.229104, -71.132633 42.229185, -71.133022 42.229449, -71.13582099999999 42.23134, -71.13666499999999 42.23191, -71.136872 42.23205, -71.13709799999999 42.232209, -71.138052 42.232855, -71.138245 42.232981, -71.138768 42.233336, -71.139241 42.23366))",246.0,30.0,71125.0,33013.0,264.0,361.0,453.0,73.0,1643.0,221.0,0.0,81.0,7.0,2475.0,2475.0,929.0,995.0,3.0,3.0,0.0993939393939394,1,0.0,0.012121212121212121,1,0.0,0.10666666666666667,2,0.0,0.14585858585858585,2,0.0,0.18303030303030304,2,0.0,0.6638383838383838,7,0.0,0.07857911733046287,1,0.0,0.2221105527638191,3,0.0,0.0,0,0.0,0.08719052744886975,1,0.0,0.0028282828282828283,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
4,25,025,082100,25025082100.0,821,Census Tract 821,G5020,S,370577,0,+42.3094485,-071.0872292,"POLYGON ((-71.092078 42.309947, -71.09181699999999 42.31025899999999, -71.09156299999999 42.310544, -71.09109699999999 42.31115399999999, -71.09050999999999 42.311898, -71.08993 42.312629, -71.089399 42.313257, -71.08904699999999 42.313152, -71.08866499999999 42.313026, -71.088319 42.312895, -71.088078 42.312786, -71.08737599999999 42.312434, -71.08676199999999 42.31213899999999, -71.086218 42.311872, -71.08586199999999 42.311689, -71.08568199999999 42.31157899999999, -71.08521 42.311323, -71.084951 42.311156, -71.084142 42.31069, -71.08391899999999 42.310576, -71.083822 42.310541, -71.083771 42.310537, -71.083495 42.310566, -71.08325099999999 42.310604, -71.083223 42.310477, -71.082893 42.309937, -71.082773 42.309753, -71.082668 42.309535, -71.08274399999999 42.309431, -71.082804 42.309331, -71.08297399999999 42.30900099999999, -71.083078 42.308772, -71.08309199999999 42.308741, -71.083254 42.308469, -71.083686 42.307891, -71.08389799999999 42.30759, -71.084029 42.307417, -71.08418899999999 42.307191, -71.084299 42.307015, -71.08440299999999 42.306797, -71.084475 42.306608, -71.084552 42.306378, -71.084619 42.306116, -71.084653 42.305931, -71.08469199999999 42.305608, -71.084721 42.305447, -71.08474099999999 42.305277, -71.08485 42.304706, -71.084923 42.304428, -71.084913 42.304905, -71.084929 42.304991, -71.08495599999999 42.305082, -71.08501099999999 42.305169, -71.085093 42.305243, -71.085302 42.305409, -71.085559 42.305534, -71.08615999999999 42.30587, -71.08656599999999 42.306111, -71.08726 42.306541, -71.08748299999999 42.306673, -71.08791599999999 42.306902, -71.08822499999999 42.307043, -71.08845699999999 42.30716, -71.088593 42.307233, -71.089079 42.30753, -71.08923799999999 42.30764, -71.08991 42.308171, -71.09071399999999 42.30878, -71.091092 42.309053, -71.09189599999999 42.309665, -71.09217199999999 42.309859, -71.092078 42.309947))",2062.0,281.0,20386.0,20995.0,713.0,857.0,1350.0,293.0,5491.0,905.0,0.0,1242.0,18.0,5726.0,5750.0,2298.0,2377.0,3.0,3.0,0.3601117708697171,4,0.0,0.0488695652173913,1,0.0,0.124,2,0.0,0.14904347826086956,2,0.0,0.23478260869565218,3,0.0,0.9549565217391305,10,0.0,0.12750217580504786,2,0.0,0.38073201514514093,4,0.0,0.0,0,0.0,0.5404699738903395,6,0.0,0.003130434782608696,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.96
5,25,025,070900,25025070900.0,709,Census Tract 709,G5020,S,168564,0,+42.3384339,-071.0781738,"POLYGON ((-71.08180999999999 42.338558, -71.08115699999999 42.338918, -71.08046999999999 42.339292, -71.080349 42.339363, -71.07963699999999 42.33975, -71.079061 42.34003, -71.07882699999999 42.340115, -71.078706 42.340175, -71.07809 42.34050999999999, -71.077972 42.340573, -71.077372 42.340931, -71.07725599999999 42.340836, -71.076956 42.3406, -71.075884 42.339757, -71.07558899999999 42.339495, -71.07526899999999 42.339211, -71.07558999999999 42.338985, -71.07595999999999 42.338724, -71.075569 42.338415, -71.07538 42.338257, -71.074995 42.337931, -71.07566799999999 42.337475, -71.076379 42.336951, -71.07694099999999 42.336527, -71.07701899999999 42.336467, -71.07762099999999 42.336001, -71.07811099999999 42.336394, -71.07871799999999 42.336879, -71.07926599999999 42.336538, -71.080203 42.337166, -71.080938 42.337656, -71.08156199999999 42.338098, -71.081969 42.338416, -71.08180999999999 42.338558))",443.0,78.0,55875.0,68624.0,360.0,316.0,496.0,13.0,1626.0,461.0,0.0,693.0,34.0,2804.0,2809.0,1537.0,1768.0,4.0,4.0,0.1579885877318117,2,0.0,0.027767888928444288,1,0.0,0.12815948736205054,2,0.0,0.11249555001779993,2,0.0,0.17657529369882521,2,0.0,0.5788536845852617,6,0.0,0.008458035133376708,1,0.0,0.26074660633484165,3,0.0,0.0,0,0.0,0.4508783344176968,5,0.0,0.012103951584193664,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
6,25,025,050500,25025050500.0,505,Census Tract 505,G5020,S,111868,0,+42.3697780,-071.0339714,"POLYGON ((-71.036692 42.369541, -71.03605999999999 42.37008, -71.03554199999999 42.370523, -71.034813 42.371145, -71.033923 42.371932, -71.033219 42.371469, -71.032646 42.371099, -71.03193 42.370666, -71.031544 42.370408, -71.031204 42.370181, -71.03165799999999 42.369868, -71.031926 42.369549, -71.031988 42.369425, -71.031994 42.369238, -71.032324 42.368905, -71.0326 42.368673, -71.03269399999999 42.368595, -71.032867 42.368434, -71.03338699999999 42.367734, -71.033997 42.367991, -71.03475399999999 42.36831, -71.03553099999999 42.36865, -71.036197 42.36893999999999, -71.03698899999999 42.369287, -71.036692 42.369541))",329.0,90.0,61029.0,25460.0,458.0,154.0,527.0,106.0,1430.0,162.0,0.0,253.0,0.0,2351.0,2351.0,746.0,806.0,4.0,4.0,0.13994045087196938,2,0.0,0.038281582305401955,1,0.0,0.19481071884304552,2,1.0,0.0655040408336878,1,0.0,0.22415993194385367,3,0.0,0.6082518077413867,7,0.0,0.14209115281501342,2,0.0,0.20099255583126552,3,0.0,0.0,0,0.0,0.339142091152815,4,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.92
7,25,025,101101,25025101101.0,1011.01,Census Tract 1011.01,G5020,S,379741,0,+42.2826649,-071.0950823,"POLYGON ((-71.099451 42.282494, -71.098663 42.283353, -71.09772 42.284363, -71.097393 42.284713, -71.096773 42.285335, -71.096316 42.285818, -71.09610499999999 42.286043, -71.09545199999999 42.286744, -71.09522799999999 42.286989, -71.09502599999999 42.287143, -71.09489599999999 42.287216, -71.09475499999999 42.287297, -71.094234 42.287532, -71.09398399999999 42.287627, -71.093887 42.287668, -71.093723 42.287282, -71.09366299999999 42.287119, -71.093434 42.28655699999999, -71.09341499999999 42.28651, -71.09319599999999 42.28593499999999, -71.09293199999999 42.285322, -71.09286 42.28513, -71.09286399999999 42.284951, -71.09273499999999 42.284855, -71.09233399999999 42.284631, -71.091931 42.28445, -71.091866 42.284372, -71.09156899999999 42.284214, -71.09168 42.283907, -71.091807 42.283523, -71.09210899999999 42.282601, -71.09243599999999 42.281595, -71.09264899999999 42.280939, -71.09288599999999 42.280265, -71.092968 42.280021, -71.093137 42.279522, -71.093164 42.279441, -71.093182 42.279386, -71.09338199999999 42.278776, -71.093434 42.27863, -71.09345399999999 42.278575, -71.09349 42.278421, -71.09352199999999 42.278165, -71.093541 42.277958, -71.09355499999999 42.277612, -71.093576 42.277248, -71.093763 42.27735699999999, -71.09411399999999 42.277611, -71.094611 42.27797899999999, -71.094976 42.278239, -71.09539599999999 42.278622, -71.095933 42.27915, -71.096283 42.27947, -71.09632499999999 42.279518, -71.096807 42.279963, -71.09696099999999 42.280128, -71.09709599999999 42.280273, -71.09756399999999 42.280838, -71.097928 42.281262, -71.09806499999999 42.281423, -71.09832 42.28163, -71.09842399999999 42.281684, -71.09845 42.281698, -71.098804 42.281884, -71.099301 42.282139, -71.099632 42.282336, -71.099451 42.282494))",643.0,342.0,53523.0,19247.0,528.0,486.0,905.0,57.0,3811.0,38.0,0.0,240.0,2.0,3850.0,3850.0,1124.0,1168.0,3.000000000000001,4.0,0.167012987012987,2,0.0,0.08883116883116883,1,1.0,0.13714285714285715,2,0.0,0.12623376623376623,2,0.0,0.23506493506493506,3,0.0,0.9898701298701299,10,1.0,0.050711743772241996,1,0.0,0.032534246575342464,1,0.0,0.0,0,0.0,0.21352313167259787,3,0.0,0.0005194805194805195,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.98
8,25,025,120600,25025120600.0,1206,Census Tract 1206,G5020,S,258211,0,+42.3191097,-071.1088407,"POLYGON ((-71.112764 42.317917, -71.112387 42.318464, -71.112146 42.318805, -71.11193399999999 42.319106, -71.11166899999999 42.31954, -71.111058 42.320326, -71.11094 42.320472, -71.110693 42.320753, -71.11053199999999 42.320999, -71.110091 42.321524, -71.11003599999999 42.321847, -71.11031899999999 42.32191, -71.109938 42.322025, -71.109453 42.322116, -71.10925499999999 42.322165, -71.108452 42.322389, -71.10826999999999 42.32232399999999, -71.10798799999999 42.322114, -71.10749899999999 42.32171899999999, -71.10678799999999 42.32115599999999, -71.10667599999999 42.321045, -71.10656 42.32091399999999, -71.105856 42.319961, -71.105565 42.319601, -71.105448 42.319509, -71.105289 42.319365, -71.105131 42.319278, -71.105389 42.318935, -71.10552899999999 42.31873299999999, -71.10566899999999 42.318546, -71.105795 42.318404, -71.10640699999999 42.31762699999999, -71.106596 42.317381, -71.106673 42.317268, -71.106838 42.317015, -71.106892 42.316892, -71.107069 42.31661099999999, -71.107236 42.316377, -71.107449 42.316412, -71.107767 42.316452, -71.108132 42.316474, -71.108255 42.316478, -71.108441 42.316483, -71.109037 42.316505, -71.109358 42.316494, -71.10963 42.316507, -71.109859 42.316528, -71.10999799999999 42.316548, -71.11012099999999 42.316584, -71.11022699999999 42.316624, -71.11039199999999 42.3167, -71.11066799999999 42.316825, -71.110839 42.316902, -71.11176399999999 42.31739, -71.11241799999999 42.31773, -71.112764 42.317917))",177.0,9.0,103417.0,62598.0,53.0,167.0,224.0,39.0,782.0,10.0,0.0,160.0,0.0,2447.0,2447.0,1054.0,1091.0,2.923573352848322,3.0,0.0723334695545566,1,0.0,0.0036779730281977932,1,0.0,0.021659174499387004,1,0.0,0.06824683285655905,1,0.0,0.09154066203514508,1,0.0,0.31957498978340826,4,0.0,0.03700189753320683,1,0.0,0.00916590284142988,1,0.0,0.0,0,0.0,0.15180265654648956,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
9,25,025,091700,25025091700.0,917,Census Tract 917,G5020,S,288865,0,+42.3036084,-071.0659184,"POLYGON ((-71.071387 42.303479, -71.07131099999999 42.303572, -71.07111399999999 42.303677, -71.07073799999999 42.303793, -71.070476 42.303869, -71.070274 42.303949, -71.07000099999999 42.30407, -71.069768 42.304215, -71.06947099999999 42.304423, -71.068798 42.304888, -71.06870599999999 42.304951, -71.068344 42.305206, -71.06788299999999 42.305541, -71.06746799999999 42.305848, -71.067364 42.305934, -71.067008 42.306245, -71.06649399999999 42.306709, -71.06622399999999 42.306543, -71.066131 42.306476, -71.066079 42.30642, -71.066042 42.30636399999999, -71.06598699999999 42.306252, -71.065387 42.305315, -71.065257 42.305098, -71.06497899999999 42.304682, -71.06468199999999 42.304203, -71.064578 42.30401699999999, -71.063863 42.304216, -71.063952 42.304369, -71.064031 42.304533, -71.064128 42.304708, -71.064554 42.305394, -71.064301 42.305459, -71.063424 42.305701, -71.06312299999999 42.30500199999999, -71.062404 42.305185, -71.062366 42.305179, -71.062303 42.305164, -71.061504 42.30537, -71.06136699999999 42.30506, -71.06115699999999 42.304559, -71.060856 42.303862, -71.060576 42.303145, -71.061494 42.302933, -71.061796 42.302858, -71.06233999999999 42.302734, -71.062744 42.302625, -71.06335399999999 42.302438, -71.063683 42.302342, -71.06346499999999 42.301999, -71.063979 42.301873, -71.064279 42.30179, -71.064448 42.301742, -71.065229 42.301536, -71.06736699999999 42.301007, -71.067656 42.30118, -71.06787299999999 42.301298, -71.068404 42.30162, -71.06889699999999 42.301906, -71.069024 42.301978, -71.069523 42.302284, -71.070172 42.302662, -71.07047399999999 42.30283499999999, -71.070859 42.303072, -71.07110299999999 42.303207, -71.071174 42.303251, -71.071426 42.303407, -71.071387 42.303479))",696.0,188.0,43125.0,20309.0,698.0,285.0,831.0,148.0,3089.0,6.0,0.0,325.0,26.0,3191.0,3214.0,995.0,1158.0,3.0,3.0,0.21811344406142275,3,0.0,0.05849408836341008,1,0.0,0.21717485998755445,3,1.0,0.08867454884878656,1,0.0,0.25855631611698815,3,0.0,0.9611076540136901,10,0.0,0.1487437185929648,2,0.0,0.0051813471502590676,1,0.0,0.0,0,0.0,0.32663316582914576,4,0.0,0.008089607965152458,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.97
